epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5861,2.09257,5.00056,1.59889,0.00102,0.22917,0.0036,0.00252,1.61741,4.69669,1.30739,5.001e-05,5.001e-05,5.001e-05
2,25.1607,1.71449,4.40757,1.44395,0.00159,0.29167,0.02121,0.01277,1.54865,4.29653,1.17276,0.000105138,0.000105138,0.000105138
3,33.3798,1.68339,4.59551,1.17119,0.00196,0.45833,0.03221,0.02227,1.31664,4.24875,1.09275,0.000147063,0.000147063,0.000147063
4,42.0324,1.42694,3.88294,1.17409,0.00342,0.75,0.06491,0.0572,1.2085,4.16086,1.00187,0.000175785,0.000175785,0.000175785
5,50.3078,1.55979,3.99503,1.03339,0.00388,0.8125,0.06578,0.05796,1.18361,4.13931,0.95307,0.000191305,0.000191305,0.000191305
6,58.7767,1.34458,3.44001,1.03293,0.00436,0.875,0.06641,0.05804,1.21248,4.09504,0.94959,0.000193622,0.000193622,0.000193622
7,67.0619,1.53046,3.01881,1.05911,0.00434,0.875,0.0665,0.05808,1.2253,3.95534,0.94992,0.000182737,0.000182737,0.000182737
8,75.5872,1.12142,2.76273,0.96025,0.00433,0.875,0.06657,0.06435,1.24261,3.88774,0.95308,0.000158648,0.000158648,0.000158648
9,83.886,1.41794,2.98887,1.09998,0.00433,0.875,0.06655,0.0643,1.21405,3.83946,0.95307,0.000121358,0.000121358,0.000121358
10,92.0495,1.30214,2.5647,0.97906,0.00433,0.875,0.06665,0.0646,1.214,3.77609,0.96019,7.08642e-05,7.08642e-05,7.08642e-05
